Sample,CARD Short name,Donor,Milieu,Tissue
ODIWGS62,Mef(En2),OD9,Mucosa,Duodenum
ODIWGS62,sul2,OD9,Mucosa,Duodenum
ODIWGS62,OmpA,OD9,Mucosa,Duodenum
ODIWGS62,dfrF,OD9,Mucosa,Duodenum
ODIWGS62,tet(32),OD9,Mucosa,Duodenum
ODIWGS62,Saur_LmrS,OD9,Mucosa,Duodenum
ODIWGS62,vanY_in_vanA_cl,OD9,Mucosa,Duodenum
ODIWGS62,SAT-4,OD9,Mucosa,Duodenum
ODIWGS62,tet(O/W/32/O),OD9,Mucosa,Duodenum
ODIWGS62,kdpD,OD9,Mucosa,Duodenum
ODIWGS62,tet(X1),OD9,Mucosa,Duodenum
ODIWGS62,mepR,OD9,Mucosa,Duodenum
ODIWGS62,msrA,OD9,Mucosa,Duodenum
ODIWGS62,arlS,OD9,Mucosa,Duodenum
