Species1	Species2	Values
Candida tropicalis	Lacticaseibacillus rhamnosus	0.0671589
Candida tropicalis	Faecalibacillus intestinalis	0.400341
Candida tropicalis	Catenibacterium sp. co_0103	0.110789
Candida tropicalis	Bifidobacterium adolescentis	0.878591
Candida tropicalis	Bifidobacterium pseudocatenulatum	0.437087
Candida tropicalis	Bifidobacterium breve	0.0712706
Candida tropicalis	Bifidobacterium bifidum	0.4001
Candida tropicalis	Bifidobacterium dentium	0.067989
Candida tropicalis	Actinomyces sp. oral taxon 171	0.0666781
Candida tropicalis	Actinomyces sp. oral taxon 169	0.134246
Candida tropicalis	Cutibacterium acnes	0.241461
Candida tropicalis	Gordonibacter urolithinfaciens	0.140535
Candida tropicalis	Gordonibacter pamelaeae	0.129485
Candida tropicalis	Bacteroides stercoris	0.635407
Candida tropicalis	Bacteroides salyersiae	0.212604
Candida tropicalis	Streptococcus lutetiensis	-0.0350834
Candida tropicalis	Enterococcus avium	0.020531
Candida tropicalis	Acidaminococcus intestini	1.10081
Candida tropicalis	Faecalibacterium sp. IP118	0.176103
Candida tropicalis	Ruthenibacterium lactatiformans	0.191646
Candida tropicalis	Streptococcus agalactiae	0.0907904
Candida tropicalis	Actinomyces sp. HMT 175	0.140255
Candida tropicalis	Bacteroides sp. KGMB07931	0.00570413
Candida albicans	Homo sapiens	0.334912
Candida albicans	Saccharomyces cerevisiae	0.260276
Candida albicans	Candida tropicalis	0.220466
Candida albicans	Candida albicans	0
Candida albicans	Botrytis cinerea	0.339552
Candida albicans	Aspergillus oryzae	0.0736819
Candida albicans	Toxoplasma gondii	0.326552
Candida albicans	Trypanosoma brucei	0.17373
Candida albicans	Leishmania infantum	0.289912
Candida albicans	Staphylococcus aureus	-0.0179813
Candida albicans	Streptococcus pneumoniae	0.0788942
Candida albicans	Streptococcus thermophilus	-0.0671915
Candida albicans	Streptococcus sp. A12	-0.0504909
Candida albicans	Streptococcus salivarius	-0.0906508
Candida albicans	Streptococcus australis	-0.0570074
Candida albicans	Streptococcus parasanguinis	-0.186689
Candida albicans	Lactococcus piscium	-0.0602015
Candida albicans	Limosilactobacillus fermentum	0.0013459
Candida albicans	Latilactobacillus sakei	-0.048167
Candida albicans	Leuconostoc carnosum	-0.0513546
Candida albicans	Lactobacillus helveticus	-0.0489947
Candida albicans	Enterococcus faecium	-0.046212
Candida albicans	Abiotrophia defectiva	-0.0382074
Candida albicans	Blautia wexlerae	-0.0628519
Candida albicans	Blautia massiliensis	-0.0394167
Candida albicans	Blautia sp. SC05B48	-0.0379419
Candida albicans	Blautia sp. NBRC 113351	-0.0520927
Candida albicans	Blautia obeum	-0.111485
Candida albicans	Blautia argi	-0.130557
Candida albicans	Blautia producta	-0.319412
